track_id,track_name,artists,album_name,album_id
50iiDJGpAPdr2VTrz999XA,House Of Balloons / Glass Table Girls,The Weeknd,Trilogy,5EbpxRwbbpCJUepbqVTZ1U
5fWBKbbsXFSgCpCQ69YhOi,I Hope You Change Your Mind,The Chainsmokers,So Far So Good,4nZ4dv1XvDE25Lf2MFhOqA
7J1dIWmxJoC0hhGFiFWy0s,Cassie,Chase Atlantic,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
5lT5IZWW3JQErXELJpQgJ9,Slow Down,Chase Atlantic,Paradise EP,7agIpPnZXBhJQcWHAvdQFx
0HqxMCPnThJ3An1QIeIzJF,OHMAMI,Chase Atlantic,BEAUTY IN DEATH (DELUXE EDITION),4tb9KRJe8FNjYIRbvtGTG5
0matCTSPUdFMTAr1YhCvaE,CALL ME BACK,Chase Atlantic,BEAUTY IN DEATH (DELUXE EDITION),4tb9KRJe8FNjYIRbvtGTG5
0R7ZwwhFav5BjkGg1astWd,MOLLY,Chase Atlantic,BEAUTY IN DEATH (DELUXE EDITION),4tb9KRJe8FNjYIRbvtGTG5
5PbTn8kCr3Zo685YtrINeQ,All the Answers,"McCone, Benedikte.",All the Answers,72ZGINBniYcDHEZrXLEWH4
0r4l1Eco6JEbeexC8dEawI,Lonely Eyes,Lauv,~how i'm feeling~,3ZuE680xhR1A4bCFGvL8mi
1m5NPDL8HaWLQ4RayHPcHN,No Longer Lost,Sumix,No Longer Lost,6zy4gy671X3i9AIOHDaef8
2gcWMnFiANbG6OMwk9uove,Stick Around,Sumix,Stick Around,75NhDjcyrW7SoZNRRyfwqs
1AxPKYDEiL1uNfJj0dk2sT,Different Lives,Fly By Midnight,Fictional Illustrations,3xrJrR589weA5sIkdMZuQh
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,Chemical,7qcSUc5Af63mhfTF60KTEA
7b3zTnrvxQpkl0940SBF5W,ugly,44phantom,ugly,7t6zzIar6ZEflGdgrUoAve
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Dreamland,5bfpRtBW7RNRdsm3tRyl3R
73K33p4Vyz9koXGqmL5eFs,Malang Sajna,"Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara",Malang Sajna,7khRLZe8P6XcUoRgOa3nnf
4wg1XAyScZW4UdmGYnliWL,Naagin,"Taha G, Shahmeer Raza Khan",Naagin,6iZlAKFss2mevRNp3sZCmo
7DiL49IUNKaApx15sEiRgS,Paradise,Chase Atlantic,Paradise EP,7agIpPnZXBhJQcWHAvdQFx
2RNsweBBb1a6tAHXQtt2xH,"fuck, i'm lonely","Lauv, Anne-Marie",~how i'm feeling~,3ZuE680xhR1A4bCFGvL8mi
53LVgD7RguP5syVZfA76G7,Funk Song,"Kidjaywest, Talwiinder, Ikath",Funk Song,0ifu1eR55sv3ZZX0BvHsTp
0s26En1JoJhVj32vizElpA,Feelings,Lauv,~how i'm feeling~,6EgJXcGqaUvgZIF9bqPXfP
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd
7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",3SHx7bBQFI4J8QRr6D5cOK
3Ro0jYDrZcygFkdomURHqt,Baarishein (Acoustic),Anuv Jain,Baarishein (Acoustic),2YzCwXR0mLizrGV0sRVF2I
2GjwIcOhi3zaaJMumJXvfP,I Found Her,Faime,I Found Her,5HbEQfwNoAbIpwuNK8XRf1
0Ot6e3wYVQQ1Us9PM977jE,A Little Death,The Neighbourhood,"Thank You,",5MOCeDoizSpQ4FnpX8VFky
0ILIuCVbnekvEFpQCWhP8a,Dancer in the Dark,Chase Atlantic,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
5dewQ7ojISR32NAYNHFYWC,HEAVEN AND BACK,Chase Atlantic,PHASES,22DL6IRGNYNenKej7aw8pO
4N1L4sd80b1E8FmWK7Xgcz,Can I Kiss You?,Dahl,Can I Kiss You?,3aGwjtgpKeXxoN2i3oBNr9
3XV5r1cMB2AlD2ir0v6mfm,The Way I Love You,"yaeow, Neptune",The Way I Love You,3K4LPKywpYV44mQtqt5mNH
